id,console-name,product-name,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,gamestop-price,genre,upc
2522,GameBoy Advance,Shaman King Soaring Hawk,$0.96,$4.79,$1.00,$4.99,$4.99,RPG,083717500551
2523,GameBoy Advance,Shaman King Sprinting Wolf,"",$3.69,$2.00,$9.99,$4.99,RPG,083717500636
10448,GameBoy Advance,Shamu's Deep Sea Adventure,"",$2.89,$1.50,$7.29,$2.99,Action & Adventure,047875751194
2524,GameBoy Advance,Shark Tale,"",$2.99,$1.00,$4.99,$5.99,Action & Adventure,047875807037
2525,GameBoy Advance,Shaun Palmers Pro Snowboarder,"",$1.99,$1.70,$8.39,$1.99,Extreme Sports,047875802070
11045,GameBoy Advance,Sheep,$6.30,$20.99,$7.20,$23.99,"",Action & Adventure,013388280056
2526,GameBoy Advance,Shining Force,$7.20,$23.99,$14.80,$36.99,"",RPG,730865850136
2527,GameBoy Advance,Shining Soul,$2.20,$10.99,$29.20,$72.99,$3.99,RPG,730865850105
2528,GameBoy Advance,Shining Soul II,$3.40,$16.99,$15.60,$38.99,$4.99,RPG,730865850112
2529,GameBoy Advance,Shrek 2,"",$2.89,$1.00,$5.19,$6.99,Action & Adventure,047875806375
14216,GameBoy Advance,Shrek 2 Beg for Mercy,"",$2.99,$1.20,$5.89,$5.99,Action & Adventure,047875807136
2531,GameBoy Advance,Shrek 2 Video,$1.16,$5.79,$1.70,$8.39,$7.99,Other,096427014645
2530,GameBoy Advance,Shrek 2 and Shark Tale 2 in 1,"",$3.69,$1.30,$6.29,"",Action & Adventure,047875811850
2532,GameBoy Advance,Shrek Hassle in the Castle,"",$3.69,$1.50,$7.29,$6.99,Action & Adventure,739069625090
2533,GameBoy Advance,Shrek Reekin' Havoc,$1.58,$7.89,$2.80,$13.99,$4.99,Action & Adventure,739069625175
11212,GameBoy Advance,Shrek Smash and Crash Racing,"",$3.09,$1.00,$4.99,$5.99,Racing,047875752870
2534,GameBoy Advance,Shrek Superslam,"",$3.09,$1.50,$7.29,$3.99,Fighting,047875809895
2535,GameBoy Advance,Shrek Swamp Kart Speedway,$1.68,$8.39,$3.20,$15.99,$4.99,Racing,739069625038
11236,GameBoy Advance,Shrek the Third,"",$3.09,$1.00,$5.19,$9.99,Action & Adventure,047875819511
2536,GameBoy Advance,Sigma Star Saga,$2.00,$9.99,$2.80,$13.99,$2.99,RPG,722674500128
2537,GameBoy Advance,Silent Scope,$1.06,$5.29,$2.40,$11.99,$2.99,FPS,083717500261
2538,GameBoy Advance,SimCity 2000,$1.00,$4.99,$1.90,$9.39,$4.99,Other,802068100155
2540,GameBoy Advance,Sitting Ducks,$1.52,$7.59,$2.80,$13.99,$5.99,Action & Adventure,677990102733
2541,GameBoy Advance,Sky Dancers,$0.84,$4.19,$0.80,$4.19,$1.99,Action & Adventure,650008899092
2542,GameBoy Advance,Smashing Drive,$1.40,$6.99,$1.40,$6.99,$4.99,Racing,722674500036
2543,GameBoy Advance,Smuggler's Run,$0.84,$4.19,$1.00,$4.99,$4.99,Racing,802068100049
2544,GameBoy Advance,Snood,"",$2.99,$1.00,$5.19,$2.99,Puzzle,802068100018
11714,GameBoy Advance,Snood 2 On Vacation,"",$1.99,$1.00,$5.19,"",Puzzle,802068100353
11769,GameBoy Advance,Snowboard,"","","","",$7.99,Sports,831585000228
14302,GameBoy Advance,Soccer Kid,$1.88,$9.39,$2.00,$9.99,$2.99,Soccer,834815002047
2545,GameBoy Advance,Soccer Mania,$0.76,$3.79,$3.80,$18.99,$2.99,Soccer,014633145236
2546,GameBoy Advance,Sonic Advance,$1.06,$5.29,$2.20,$10.99,$9.99,Action & Adventure,010086600025
11019,GameBoy Advance,Sonic Advance & Sonic Pinball Party,$2.00,$9.99,$14.80,$36.99,$9.99,Action & Adventure,010086600339
2547,GameBoy Advance,Sonic Advance 2,$1.18,$5.89,$8.70,$28.99,$12.99,Action & Adventure,785138321431
2548,GameBoy Advance,Sonic Advance 3,$1.04,$5.19,$8.10,$26.99,$9.99,Action & Adventure,785138321585
2549,GameBoy Advance,Sonic Battle,$1.88,$9.39,$16.80,$41.99,$12.99,Fighting,785138321578
18489,GameBoy Advance,Sonic Pinball Party,$0.84,$4.19,$7.20,$23.99,$5.99,Arcade,010086600131
11022,GameBoy Advance,Sonic The Hedgehog Genesis,$1.20,$5.99,$3.40,$16.99,$14.99,Action & Adventure,010086600407
2550,GameBoy Advance,Sonic X Volume 1,"",$2.69,$3.80,$18.99,$5.99,Other,096427013501
2551,GameBoy Advance,Space Channel 5 Ulalas Cosmic Attack,$1.38,$6.89,$25.20,$62.99,$4.99,Other,785138321264
2552,GameBoy Advance,Space Invaders,$1.68,$8.39,$1.80,$8.89,$5.99,Arcade,047875803138
2553,GameBoy Advance,Spiderman,"",$3.69,$1.00,$4.99,$5.99,Action & Adventure,047875803312
2554,GameBoy Advance,Spiderman 2,$0.84,$4.19,$1.80,$8.89,$5.99,Action & Adventure,047875805910
2555,GameBoy Advance,Spiderman 3,"",$3.29,$1.00,$5.19,$9.99,Action & Adventure,047875819979
11233,GameBoy Advance,Spiderman Battle for New York,$0.84,$4.19,$1.60,$7.89,$9.99,Action & Adventure,047875816558
10406,GameBoy Advance,Spiderman Double Pack,$1.20,$5.99,$3.00,$14.99,"",Action & Adventure,047875811812
2556,GameBoy Advance,Spiderman Mysterio's Menace,$0.94,$4.69,$2.20,$10.99,$9.99,Action & Adventure,047875802018
11229,GameBoy Advance,Spiderman Mysterio's Menace / X-2 Wolverines Revenge,$0.92,$4.59,$0.90,$4.59,"",Action & Adventure,047875811836
11641,GameBoy Advance,Spirit Stallion of the Cimarron Search for Homeland,$0.80,$3.99,$2.60,$12.99,$3.99,Action & Adventure,785138321073
2557,GameBoy Advance,Spirits and Spells,$1.04,$5.19,$4.00,$19.99,$2.99,RPG,625904340900
2558,GameBoy Advance,Splinter Cell,$1.34,$6.69,$3.20,$15.99,$4.99,Action & Adventure,008888140399
2559,GameBoy Advance,Splinter Cell Pandora Tomorrow,"",$2.89,$2.20,$10.99,$5.99,Action & Adventure,008888141600
10251,GameBoy Advance,SpongeBob SquarePants Atlantis SquarePantis,"",$3.29,$2.00,$9.99,$9.99,Action & Adventure,785138322599
2561,GameBoy Advance,SpongeBob SquarePants Battle for Bikini Bottom,$0.78,$3.89,$1.00,$4.99,$9.99,Action & Adventure,785138321448
2562,GameBoy Advance,SpongeBob SquarePants Creature from Krusty Krab,$0.84,$4.19,$1.90,$9.39,$12.99,Action & Adventure,785138322377
16139,GameBoy Advance,SpongeBob SquarePants Dual Pack,"",$3.69,$1.00,$4.99,$4.99,Action & Adventure,785138321776
2563,GameBoy Advance,SpongeBob SquarePants Lights Camera Pants,"",$1.99,$1.90,$9.39,$9.99,Action & Adventure,785138321882
2560,GameBoy Advance,SpongeBob SquarePants Revenge of the Flying Dutchman,"",$3.39,$1.00,$4.99,$9.99,Action & Adventure,785138321172
2564,GameBoy Advance,SpongeBob SquarePants Super Sponge,"",$3.19,$1.20,$6.19,$9.99,Action & Adventure,785138320755
2565,GameBoy Advance,SpongeBob SquarePants The Movie,"",$3.39,$1.50,$7.29,$14.99,Action & Adventure,785138321639
11650,GameBoy Advance,SpongeBob SquarePants and Fairly OddParents,$0.82,$4.09,$2.20,$10.99,"",Action & Adventure,785138321929
2568,GameBoy Advance,Sports Illustrated For Kids Baseball,$0.84,$4.19,$1.40,$6.79,$2.99,Baseball,682384320044
2569,GameBoy Advance,Sports Illustrated For Kids Football,"",$2.69,$1.00,$4.99,$1.99,Football,682384320020
11431,GameBoy Advance,Sports Illustrated for Kids Basketball,"",$1.99,"",$1.99,"",Basketball,682384320037
2570,GameBoy Advance,Spy Hunter,"",$2.49,$1.70,$8.39,$2.99,Racing,031719198627
2573,GameBoy Advance,Spy Hunter/Super Sprint,"",$3.09,$1.00,$5.19,$3.99,Racing,802068100513
2571,GameBoy Advance,Spy Kids 3D Game Over,"",$3.59,$2.20,$10.99,"",Action & Adventure,712725001391
11494,GameBoy Advance,Spy Kids Challenger,"",$2.39,$1.30,$6.29,$5.99,Action & Adventure,712725001346
2572,GameBoy Advance,Spy Muppets License to Croak,"",$1.99,$1.00,$4.99,$2.99,Action & Adventure,739069625144
2574,GameBoy Advance,Spyro Attack of the Rhynocs,"",$2.89,$3.20,$15.99,$4.99,Action & Adventure,020626720366
2575,GameBoy Advance,Spyro Orange The Cortex Conspiracy,"",$3.19,$1.10,$5.49,$4.99,Action & Adventure,020626721882
2576,GameBoy Advance,Spyro Season of Flame,$0.84,$4.19,$3.40,$16.99,$4.99,Action & Adventure,020626714938
2577,GameBoy Advance,Spyro Season of Ice,"",$3.69,$3.00,$14.99,$3.99,Action & Adventure,020626712569
2578,GameBoy Advance,Spyro Superpack,$1.20,$5.99,$3.60,$17.99,$5.99,Action & Adventure,020626724241
9833,GameBoy Advance,Spyro The Eternal Night,$1.06,$5.29,$2.00,$9.99,$9.99,Action & Adventure,020626726573
11821,GameBoy Advance,Stadium Games,$0.84,$4.19,$1.00,$4.99,$1.99,Sports,893384000144
2580,GameBoy Advance,Star Wars Attack of the Clones,"",$2.09,$1.00,$5.19,$9.99,Action & Adventure,785138321042
2583,GameBoy Advance,Star Wars Episode I Jedi Power Battles,$0.76,$3.79,$6.30,$20.99,$9.99,Action & Adventure,785138320830
2581,GameBoy Advance,Star Wars Flight of Falcon,$0.84,$4.19,$1.60,$7.89,$6.99,Action & Adventure,785138321394
2582,GameBoy Advance,Star Wars II New Droid Army,"",$3.19,$1.50,$7.29,$9.99,Action & Adventure,785138321233
2584,GameBoy Advance,Star Wars Revenge of the Sith,$0.82,$4.09,$2.60,$12.99,$5.99,Action & Adventure,008888142393
2585,GameBoy Advance,Star Wars Trilogy Apprentice Of The Force,$1.00,$4.99,$1.10,$5.29,$9.99,Action & Adventure,008888142089
2586,GameBoy Advance,Star X,"",$2.09,$3.60,$17.99,$0.99,Other,682384320112
11435,GameBoy Advance,Starsky and Hutch,"",$3.39,$1.30,$6.29,$4.99,Action & Adventure,682384320273
11140,GameBoy Advance,Static Shock,"","","","","",Action & Adventure,031719191185
11433,GameBoy Advance,Stone Monkey,"","","","","",Action & Adventure,682384320143
